key_0,business_code,cust_number,name_customer,business_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen,Day_due,Delay_predict,Payment_date_predict,Aging_bucket
24468,U001,0200706844,WINC co,2020.0,1930571429.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,8734.71,2020-02-27,NAA8,1930571429.0,1,13,1,2020-03-14,Bucket2
10250,U001,0200915438,GROC foundation,2020.0,1930565277.0,2020-02-27,2020-02-25,2020-02-27,2020-03-13,USD,RV,1.0,8761.37,2020-02-27,NAA8,1930565277.0,1,13,1,2020-03-14,Bucket2
11953,U001,0200777735,NASH  foundation,2020.0,1930581131.0,2020-02-27,2020-02-28,2020-02-27,2020-03-13,USD,RV,1.0,44194.05,2020-02-27,NAA8,1930581131.0,1,13,1,2020-03-14,Bucket2
40290,U001,0200706844,WINC llc,2020.0,1930579026.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,79238.44,2020-02-27,NAA8,1930579026.0,1,13,3,2020-03-16,Bucket2
25525,U001,0200783609,PROFIC corporation,2020.0,1930566468.0,2020-02-27,2020-02-25,2020-02-27,2020-03-13,USD,RV,1.0,9665.47,2020-02-27,NAA8,1930566468.0,1,13,1,2020-03-14,Bucket2
41469,U001,0200726979,BJ'S  corporation,2020.0,1930571575.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,1095.64,2020-02-27,NAA8,1930571575.0,1,13,1,2020-03-14,Bucket2
22879,U001,0200759878,SA foundation,2020.0,1930570685.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,4935.23,2020-02-27,NAH4,1930570685.0,1,13,1,2020-03-14,Bucket2
17949,U002,0200966902,BALLES corporation,2020.0,1990571528.0,2020-02-27,2020-02-27,2020-02-27,2020-03-28,USD,RV,1.0,63920.62,2020-02-27,NA38,1990571528.0,1,28,-13,2020-03-15,Bucket1
10369,U001,0200400844,GOLD  corporation,2020.0,1930571599.0,2020-02-27,2020-02-26,2020-02-27,2020-03-08,USD,RV,1.0,46115.46,2020-02-27,NA10,1930571599.0,1,8,3,2020-03-11,Bucket2
31317,U001,0200769623,WAL-MAR ,2020.0,1930571521.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,8230.8,2020-02-27,NAH4,1930571521.0,1,13,3,2020-03-16,Bucket2
6098,U001,0200792734,MDV/ corp,2020.0,1930572437.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,8683.16,2020-02-27,NAA8,1930572437.0,1,13,1,2020-03-14,Bucket2
31,U001,0200794332,COST corp,2020.0,1930560617.0,2020-02-27,2020-02-24,2020-02-27,2020-03-13,USD,RV,1.0,21725.11,2020-02-27,NAAX,1930560617.0,1,13,2,2020-03-15,Bucket2
21719,U001,0200769623,WAL-MAR foundation,2020.0,1930571148.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,2373.96,2020-02-27,NAH4,1930571148.0,1,13,1,2020-03-14,Bucket2
34081,U001,0200794332,COST in,2020.0,1930567522.0,2020-02-27,2020-02-25,2020-02-27,2020-03-13,USD,RV,1.0,8793.09,2020-02-27,NAAX,1930567522.0,1,13,1,2020-03-14,Bucket2
